"","rowid","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","Q3","Q4","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q18","Q19","Q20","Q21","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q26","Q27","Q28","Q29","Q30","Q31","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q33","Q34","Q35","grad_year","practice_type","Q3_lic_pract","grad_year_cat","AABP","AASV","AASRP","AVMA","AAAP","AVC","StateVMA","Foreign","AABP_AVC","Beef_Cattle","Dairy_Cattle","Swine","Sheep","Chickens","Goats","Turkeys","beef_dairy","sheep_goat","chicken_turkey","Q7_cost","Q7_efficacy_safety","Q7_applied_practically","Q7_regulatory_issues","Q7_human_resistance","Q7_animal_resistance","Q7_client_preference","Q7_human_importance","Q9_AST_before","Q10_AST_after","Q11_AST_monitor_disease","Q12_AST_monitor_foodborne","Q13_monitor_path_disease","Q14_monitor_zoo_path","Q15_cost","Q15_time","Q15_not_useful","Q15_unsure_application","Q17_spectrum","Q17_compare_efficacy","Q17_combined_therapy","Q17_AST","Q17_resist_select","Q17_ancillary_therapy","Q17_post_treat_interval","Q17_duration_therapy","Q17_treatment_outcome","certificate_program","Q21_antimicrobial_discontinue_old_client","Q22_risk_relation_morbidity_spike_old_client","Q23_risk_relation_morbidity_spike_new_client","Q24_repro_perform","Q24_econ_perform","Q24_disease_incid","Q24_amu","Q24_treat_outcome","Q25_repro_perform","Q25_econ_perform","Q25_disease_incid","Q25_amu","Q25_treat_outcome","Q26_expand_routine_analysis","Q27_not_applicable","Q27_lack_data","Q27_unwilling_compensate","Q27_unwilling_share_data","Q27_few_animals","Q27_unsure_returns","Q27_not_priority","Q27_no_time","Q28_not_applicable","Q28_lack_data","Q28_unsure_returns","Q28_no_time","Q31_confidential_report_amu","Q32_AVMA_principles","Q32_AVMA_checklist","Q32_AABP_key_elements","Q32_joint_AABP_AVC","Q32_AASV_guidelines","Q32_AASRP_guidelines","Q32_AAAP_guidelines","Q33_need_amu_info","Q34_FARAD","Q34_textbook","Q34_web_search","Q34_literature_search","Q34_CE_notes","Q34_vet_school_notes","Q34_vet_assoc","Q34_pharma_company","Q34_university_contact","Q34_product_label","Q34_reg_doc","Q34_colleague","Q34_listserv","Q34_social_media"
"67",69,"6/5/2021 4:39","6/5/2021 4:47","IP Address","*******","100","434","TRUE","6/5/2021 4:47","R_5AdL3zatgGsTRyp","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1991","Yes","None of these accurately describes my practice","AABP - American Association of Bovine Practitioners,AVC - Academy of Veterinary Consultants,Your state veterinary medical association","Beef cattle","Important, but not a major component","A major component of my decision process","Important, but not a major component","Important, but not a major component","Not considered","A very minor component","A very minor component","A very minor component",NA,"Never","Rarely (1-5% of cases)","Rarely (1-5% of clients)","Never",NA,NA,"I don't think the results are useful information",NA,"Confident","Confident","Confident","Very confident","Confident","Confident","Confident","Confident","Confident","No","Slight","None","Willing without hesitation","Slight risk","Moderate risk","26-50%","26-50%","26-50%","26-50%","26-50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client number of animals is too small to create value",NA,NA,NA,"No","I read it: no practical guidance","I read it: no practical guidance","I read it: no practical guidance","I read it: no practical guidance",NA,NA,NA,"1-2 times","A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Contacting a pharmaceutical company representative,Asking a colleague",NA,1991,"None","Yes","1987-1999",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Important","Important","None","Minor","Minor","Minor","Never","Rarely","Rarely","Never",NA,NA,FALSE,FALSE,TRUE,FALSE,"Confident","Confident","Confident","Very confident","Confident","Confident","Confident","Confident","Confident","No","Willing without hesitation","Slight risk","Moderate risk","26-50%","26-50%","26-50%","26-50%","26-50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No","no practical guidance","no practical guidance","no practical guidance","no practical guidance","Unknown","Unknown","Unknown","1-2",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"68",70,"6/5/2021 4:42","6/5/2021 4:52","IP Address","*******","100","635","TRUE","6/5/2021 4:52","R_1f77s8AC19sdTw2","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2017","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Swine,Sheep,Goats","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process","Not considered","Important, but not a major component","A very minor component","Not considered",NA,"Never","Occasionally (6-15% of cases)","Never","Never",NA,NA,"Cost,Turnaround time",NA,"Low confidence","Confident","Low confidence","Confident","Confident","Confident","Confident","Confident","Confident","Yes, up to 10 hours commitment","Moderate","Slight","Willing but concerned about possible negative consequences","Moderate risk","No risk","Some, 6-25%","A few, < 5%","A few, < 5%","A few, < 5%","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Possibly","I am aware of the document but have not read it","I am aware of the document but have not read it","I am aware of the document but have not read it","I am aware of the document but have not read it","I was unaware of the document","I was unaware of the document",NA,"3-5 times","Food Animal Residue Avoidance Databank (FARAD),A web search,Vet School notes,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague,An organization listserv,Social media",NA,2017,"Food Animal Practice","Yes",">2016",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Major","Major","Important","Major","None","Important","Minor","None","Never","Occasionally","Never","Never",NA,NA,TRUE,TRUE,FALSE,FALSE,"Low Confidence","Confident","Low Confidence","Confident","Confident","Confident","Confident","Confident","Confident","10 hrs","Willing but concerned","Moderate risk","No risk","6-25%","< 5%","< 5%","< 5%","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","have not read","have not read","have not read","unaware","unaware","Unknown","3-5",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"69",71,"6/5/2021 4:45","6/5/2021 4:57","IP Address","*******","100","753","TRUE","6/5/2021 4:57","R_268DWaETWMjpVvT","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2008","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVC - Academy of Veterinary Consultants,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","Important, but not a major component","A major component of my decision process","A very minor component",NA,"Never","Rarely (1-5% of cases)","Never","Never",NA,NA,"Turnaround time,I don't think the results are useful information,I am unsure about the correct application of the results",NA,"Low confidence","Confident","Low confidence","Confident","Confident","Very confident","Very confident","Very confident","Very confident","No","Moderate","Slight","Willing without hesitation","Moderate risk","Moderate risk","> 50%","A few, < 5%","A few, < 5%","A few, < 5%","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client number of animals is too small to create value",NA,NA,NA,"Possibly","I am aware of the document but have not read it","I am aware of the document but have not read it","I am aware of the document but have not read it","I read it, cannot recall contents",NA,NA,NA,"1-2 times","Food Animal Residue Avoidance Databank (FARAD),A web search,Asking a colleague",NA,2008,"Food Animal Practice","Yes","2000-2010",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Major","Major","Minor","Important","Major","Minor","Never","Rarely","Never","Never",NA,NA,FALSE,TRUE,TRUE,TRUE,"Low Confidence","Confident","Low Confidence","Confident","Confident","Very confident","Very confident","Very confident","Very confident","No","Willing without hesitation","Moderate risk","Moderate risk","> 50%","< 5%","< 5%","< 5%","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","have not read","have not read","cannot recall content","Unknown","Unknown","Unknown","1-2",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"70",72,"6/5/2021 4:47","6/5/2021 4:58","IP Address","*******","100","658","TRUE","6/5/2021 4:58","R_2Sp4qf7X0gPZgiS","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2011","Yes","Private practice that is primarily food animal","AVC - Academy of Veterinary Consultants,AVMA - American Veterinary Medical Association","Beef cattle","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Not considered","Important, but not a major component","Important, but not a major component","Not considered",NA,"Occasionally (6-15% of cases)","Often (> 20% of cases)","Often (> 20% of clients)","Occasionally (6-15% of clients)",NA,NA,"Turnaround time",NA,"Confident","Confident","Confident","Confident","Very confident","Confident","Confident","Confident","Very confident","No","Significant","Slight","Willing without hesitation","Slight risk","Moderate risk","Some, 6-25%","A few, < 5%","26-50%","26-50%","26-50%",NA,NA,NA,NA,NA,"Yes","The client is unwilling to compensate for the interaction",NA,NA,NA,"Definitely yes","I am aware of the document but have not read it","I am aware of the document but have not read it","I was unaware of the document","I read it, cannot recall contents",NA,NA,NA,"1-2 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Vet School notes,A product label,Asking a colleague,An organization listserv",NA,2011,"Food Animal Practice","Yes","2011-2016",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Major","Major","None","Important","Important","None","Occasionally","Often","Often","Occasionally",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Confident","Very confident","Confident","Confident","Confident","Very confident","No","Willing without hesitation","Slight risk","Moderate risk","6-25%","< 5%","26-50%","26-50%","26-50%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","have not read","have not read","unaware","cannot recall content","Unknown","Unknown","Unknown","1-2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"71",73,"6/5/2021 4:53","6/5/2021 5:03","IP Address","*******","100","616","TRUE","6/5/2021 5:03","R_ABxssUqGBLdMpqh","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2015","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats","Important, but not a major component","A major component of my decision process","Important, but not a major component","A major component of my decision process","Not considered","A very minor component","A major component of my decision process","Not considered",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Never","Never",NA,NA,"Cost,Turnaround time",NA,"Very confident","Confident","Confident","Confident","Low confidence","Very confident","Confident","Very confident","Very confident","Yes, up to 10 hours commitment","Slight","Slight","Willing but concerned about possible negative consequences","High risk","Moderate risk","> 50%","A few, < 5%","26-50%","Some, 6-25%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Definitely yes","I read it, cannot recall contents","I was unaware of the document","I read it, cannot recall contents","I was unaware of the document","I was unaware of the document","I was unaware of the document",NA,"1-2 times","Food Animal Residue Avoidance Databank (FARAD),A web search,Continuing education proceedings, notes, or presentations,A product label,Asking a colleague,An organization listserv",NA,2015,"Food Animal Practice","Yes","2011-2016",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Important","Major","Important","Major","None","Minor","Major","None","Rarely","Occasionally","Never","Never",NA,NA,TRUE,TRUE,FALSE,FALSE,"Very confident","Confident","Confident","Confident","Low Confidence","Very confident","Confident","Very confident","Very confident","10 hrs","Willing but concerned","High risk","Moderate risk","> 50%","< 5%","26-50%","6-25%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","cannot recall content","unaware","cannot recall content","unaware","unaware","unaware","Unknown","1-2",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"72",74,"6/5/2021 4:52","6/5/2021 5:06","IP Address","*******","100","818","TRUE","6/5/2021 5:06","R_1LOMEJ9Q3KMNcg2","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1989","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVC - Academy of Veterinary Consultants,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","Important, but not a major component","A very minor component","Important, but not a major component",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Never","Never",NA,NA,"Turnaround time",NA,"Confident","Very confident","Very confident","Confident","Low confidence","Very confident","Very confident","Very confident","Very confident","Yes, up to 20 hours commitment","Significant","Moderate","Willing without hesitation","Slight risk","Slight risk","Some, 6-25%","A few, < 5%","26-50%","26-50%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction",NA,NA,NA,"Definitely yes","I read it:  provided practical guidance","I read it, cannot recall contents","I read it:  provided practical guidance","I read it:  provided practical guidance",NA,NA,NA,"More than 5 times","A textbook, drug handbook or other hard copy resource,Continuing education proceedings, notes, or presentations,Veterinary association guidance,A product label,An organization listserv",NA,1989,"Food Animal Practice","Yes","1987-1999",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Major","Major","Important","Important","Minor","Important","Rarely","Occasionally","Never","Never",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Very confident","Very confident","Confident","Low Confidence","Very confident","Very confident","Very confident","Very confident","20 hrs","Willing without hesitation","Slight risk","Slight risk","6-25%","< 5%","26-50%","26-50%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","provided practical guidance","cannot recall content","provided practical guidance","provided practical guidance","Unknown","Unknown","Unknown",">5",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"73",75,"6/5/2021 5:18","6/5/2021 5:28","IP Address","*******","100","584","TRUE","6/5/2021 5:28","R_2rAWnyj9TmbAy4Y","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2012","Yes","Private general practice","AVC - Academy of Veterinary Consultants,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Swine,Sheep,Goats","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","A very minor component","Important, but not a major component","A very minor component",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Never","Never",NA,NA,"I do not perceive any of these as barriers",NA,"Very confident","Very confident","Low confidence","Confident","Confident","Confident","Confident","Confident","Confident","No","Slight","Slight","Willing but concerned about possible negative consequences","Moderate risk","High risk","> 50%","A few, < 5%","Some, 6-25%","None","Some, 6-25%",NA,NA,NA,NA,NA,"No","Lack of appropriate data system for collection and reporting,I am unsure as to how to return value to the client",NA,"With a beef cow/calf client base, disease incidence is relatively low, so hard to determine treatment outcome when each client uses only a small amount of antibiotics per year",NA,"Possibly","I am aware of the document but have not read it","I am aware of the document but have not read it","I was unaware of the document","I am aware of the document but have not read it","I was unaware of the document","I was unaware of the document",NA,"None or rarely","A textbook, drug handbook or other hard copy resource,Contacting a pharmaceutical company representative,A product label",NA,2012,"Private General Practice","Yes","2011-2016",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Important","Major","Major","Major","Minor","Minor","Important","Minor","Rarely","Occasionally","Never","Never",NA,NA,FALSE,FALSE,FALSE,FALSE,"Very confident","Very confident","Low Confidence","Confident","Confident","Confident","Confident","Confident","Confident","No","Willing but concerned","Moderate risk","High risk","> 50%","< 5%","6-25%","None","6-25%",NA,NA,NA,NA,NA,"No",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","have not read","unaware","have not read","unaware","unaware","Unknown","None",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"74",76,"6/5/2021 5:21","6/5/2021 5:36","IP Address","*******","100","882","TRUE","6/5/2021 5:36","R_3R9oWJrwNaO3eGu","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1976","Yes","Private general practice","AABP - American Association of Bovine Practitioners,AASRP - American Association of Small Ruminant Practitioners,AVMA - American Veterinary Medical Association","Dairy cattle,Beef cattle,Sheep,Goats","Important, but not a major component","Important, but not a major component","A very minor component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Not considered","A major component of my decision process","Availabiltiy of antimicrobial - is it on hand or would have to be acquired?  How long until can use?","Occasionally (6-15% of cases)","Often (> 20% of cases)","Rarely (1-5% of clients)","Rarely (1-5% of clients)",NA,NA,"Turnaround time,I don't think the results are useful information","I use a University DLab for culture and sensitivity, their choice of antimicrobials on the panel for food animal are not always what would be legal to use (too many banned drugs) or readily available.  I also have a challenge with them not reporting out all microorganisms isolated - if they don't consider it a pathogen, they don't report it.  I have asked them to report all significant growth.  Case in point, they don't consider Bacillus cereus a pathogen, and it is a documented cause of gangrenous mastitis in dairy goats.  Last time, they didn't even run the sensitivity I specfically requested.","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","No","Moderate","Significant","Unwilling","Moderate risk","Moderate risk","> 50%","26-50%","> 50%","> 50%","26-50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting",NA,"Lack of interest on part of client - most of my clients are small-scale, and disease incidence is more one or two affected animals at one time.  No prophylactic metaphylaxis other than vaccination against known preventable diseases, use of sulfadimethoxine in coccidiosis prevention program.",NA,"Possibly","I read it:  provided practical guidance","I read it:  provided practical guidance","I was unaware of the document","I was unaware of the document",NA,"I read it:  provided practical guidance",NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Continuing education proceedings, notes, or presentations,Veterinary association guidance,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Regulatory documents such as from the FDA Center for Veterinary Medicine,Asking a colleague,An organization listserv",NA,1976,"Private General Practice","Yes","<1987",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Important","Important","Minor","Major","Major","Major","None","Major","Occasionally","Often","Rarely","Rarely",NA,NA,FALSE,TRUE,TRUE,FALSE,"Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","No","Unwilling","Moderate risk","Moderate risk","> 50%","26-50%","> 50%","> 50%","26-50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","provided practical guidance","provided practical guidance","unaware","unaware","Unknown","provided practical guidance","Unknown",">5",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"75",77,"6/5/2021 5:32","6/5/2021 5:42","IP Address","*******","100","613","TRUE","6/5/2021 5:42","R_3g5CZ6KQNxm6MuJ","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2006","Yes","None of these accurately describes my practice","AABP - American Association of Bovine Practitioners,AASV - American Association of Swine Veterinarians,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Swine","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process","A very minor component","Important, but not a major component",NA,"Occasionally (6-15% of cases)","Often (> 20% of cases)","Often (> 20% of clients)","Rarely (1-5% of clients)",NA,NA,"Turnaround time","Convincing the client about the science","Confident","Confident","Confident","Confident","Low confidence","Confident","Not Applicable to my practice","Confident","Confident","Yes, up to 20 hours commitment","Moderate","Moderate","Willing but concerned about possible negative consequences","Slight risk","Moderate risk","A few, < 5%","Some, 6-25%","Some, 6-25%","Some, 6-25%","26-50%",NA,NA,NA,NA,NA,"Yes","The client is unwilling to compensate for the interaction,The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Definitely yes","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents","I read it, cannot recall contents",NA,NA,"1-2 times","A textbook, drug handbook or other hard copy resource,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague,Social media",NA,2006,"None","Yes","2000-2010",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Major","Major","Important","Major","Minor","Important","Occasionally","Often","Often","Rarely",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Confident","Low Confidence","Confident","Not Applicable","Confident","Confident","20 hrs","Willing but concerned","Slight risk","Moderate risk","< 5%","6-25%","6-25%","6-25%","26-50%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","cannot recall content","cannot recall content","cannot recall content","cannot recall content","cannot recall content","Unknown","Unknown","1-2",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"76",78,"6/5/2021 5:44","6/5/2021 5:57","IP Address","*******","100","785","TRUE","6/5/2021 5:57","R_1Nw9eDBF03kqXXD","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2020","Yes","Private general practice","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association","Dairy cattle,Beef cattle,Swine,Sheep,Goats,Chickens,Turkeys","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","Important, but not a major component","A major component of my decision process","A very minor component","Important, but not a major component","Relative cost of the animal.","Rarely (1-5% of cases)","Often (> 20% of cases)","Never","Never",NA,NA,"Cost,Turnaround time",NA,"Very confident","Confident","Confident","Very confident","Confident","Very confident","Confident","Confident","Confident","Yes, up to 10 hours commitment","Significant","Moderate","Willing but concerned about possible negative consequences","Moderate risk","High risk","Some, 6-25%","A few, < 5%","Some, 6-25%","Some, 6-25%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Possibly","I was unaware of the document","I was unaware of the document","I read it, cannot recall contents","I was unaware of the document","I was unaware of the document","I was unaware of the document","I was unaware of the document","More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Vet School notes,Veterinary association guidance,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Regulatory documents such as from the FDA Center for Veterinary Medicine,Asking a colleague,An organization listserv,Social media",NA,2020,"Private General Practice","Yes",">2016",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Major","Major","Major","Important","Important","Major","Minor","Important","Rarely","Often","Never","Never",NA,NA,TRUE,TRUE,FALSE,FALSE,"Very confident","Confident","Confident","Very confident","Confident","Very confident","Confident","Confident","Confident","10 hrs","Willing but concerned","Moderate risk","High risk","6-25%","< 5%","6-25%","6-25%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Possibly","unaware","unaware","cannot recall content","unaware","unaware","unaware","unaware",">5",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
